"Greenhouse gas emissions by economic sector, Canada, 1990 to 2020",,,,,,,
,,,,,,,
Year,Oil and gas (megatonnes of carbon dioxide equivalent),Transport (megatonnes of carbon dioxide equivalent),Buildings (megatonnes of carbon dioxide equivalent),Electricity (megatonnes of carbon dioxide equivalent),Heavy industry (megatonnes of carbon dioxide equivalent),Agriculture (megatonnes of carbon dioxide equivalent),Waste and others (megatonnes of carbon dioxide equivalent)
1990,102.6,120.5,71.2,94.7,97.2,51.7,56.7
1991,102.2,114.3,70.6,96.1,97.1,52.3,55.3
1992,110.8,115.2,72.4,102.5,94.6,54.7,54.9
1993,117.5,116.7,76,93.1,94.1,56.5,53.7
1994,121.5,121.3,76.3,95.1,99.7,59.1,55.1
1995,127.6,122.1,77,98.2,100.4,62.2,57.9
1996,135.4,125.7,83.3,98.2,103.2,63.4,57.5
1997,136.5,131.5,80.8,109.4,102.6,64,57.5
1998,140.9,137.3,72.4,122.1,97.6,63.8,54.5
1999,149.9,143,76.3,119.1,94.7,63.5,55.2
2000,155.1,144.9,82.8,129,94.1,64.1,56.9
2001,156.6,146.6,79.5,129.2,88.3,62.9,55.2
2002,161.5,147.7,83.8,123.6,89,62.9,55.7
2003,165.9,151.7,89,127.3,88.3,65.1,55.9
2004,168.2,156.1,87.6,119,92.2,65.9,56.2
2005,171.3,160.1,83.7,117.5,87.2,66.4,55
2006,178,161,78.5,111.6,87,65,53.5
2007,183,164.4,84.3,119.6,86,65,54.5
2008,179.9,164.5,84.2,108.8,84.5,64.2,52.9
2009,176.9,161.5,82.6,93.7,71.5,61.9,49.5
2010,181.4,167.2,79.4,94.6,74.6,61.9,50.5
2011,187.2,168.3,84.7,86.6,80.4,62.4,51.3
2012,194.2,170.5,83.2,83.3,80.2,63.7,50.5
2013,198.9,174,84.3,79.7,78.6,65.4,51.3
2014,204.5,171.5,84.9,76.3,79.4,63.8,49.3
2015,204.8,172.1,83.8,79.7,77.8,64.6,49.8
2016,194.4,173.5,82.2,74.3,76.3,64.9,49.5
2017,196.5,178.9,86.6,72.6,75.5,64.3,50.5
2018,205,184.1,92.9,62.8,77.5,66.3,51.5
2019,203.5,185.5,92,61.8,77.4,66.7,51.5
2020,178.8,159.2,87.8,56.2,71.8,68.7,50
,,,,,,,
"Note: Data are presented as rounded figures. ""Others"" in the Waste and others sector consists of emissions from light manufacturing, construction, forest resources and coal production. The Heavy industry sector consists of emissions from mining, smelting and refining, pulp and paper, iron and steel, cement, lime and gypsum, and chemicals and fertilizers.",,,,,,,
Source: Environment and Climate Change Canada (2022) National Inventory Report 1990-2020: Greenhouse Gas Sources and Sinks in Canada (www.canada.ca/en/environment-climate-change/services/climate-change/greenhouse-gas-emissions/inventory.html).,,,,,,,
Available on the Environmental indicators website (www.canada.ca/environmental-indicators).,,,,,,,
